Provincia,Codice,Tipologia,Denominazione,Indirizzo,Civico,Localita,Cod. comune,Comune,CAP,Distr.,Telefono,Caratteristica scuola,Sede direttivo,Codice sede riferimento,Codice sede di direttivo,Denominazione sede direttivo,Indirizzo sede di direttivo,Cod. comune sede dir.,Comune sede di direttivo,CAP sede dir.,Distr. sede dir.,Classificazione Autonomia,Organico Autonomia,Organico Sede,Num. Sedi Autonomia,Macrotipologia Autonomia,Tipologia Autonomia,Tipologia Sede,S-Comune montano,Telefono Sede Autonomia,Fax Sede Autonomia,Fax Sede Autonomia_1,Indirizzo E-Mail Autonomia,Indirizzo E-Mail sede corsi,Indirizzo PEC Autonomia,Indirizzo PEC sede corsi,Codice_ISTAT_comune_SEDE,coorY,coorX,location
MI,MIPS01000G,Istituto Istruzione Secondario Secondo grado,L. Scientifico - Einstein,Via Einstein,3,-,F205,MILANO,20137,077,00025413161,Ordinaria,SI,MIPS01000G,MIPS01000G,A. Einstein,"Via Einstein, 3",F205,MILANO,20137,077,Statale,1127,1127,1,Secondo ciclo,Liceo,Liceo,Non montano,025413161,025460852,025460852,mips01000g@istruzione.it,liceoein@tin.it,mips01000g@pec.istruzione.it,mips01000g@pec.istruzione.it,15146,45.45059275,9.2167409,"(45.45059275, 9.2167409)"
MI,MIPC20000G,Istituto Istruzione Secondario Secondo grado,L. Classico - Tito Livio,Via Circo,4,MILANO,F205,MILANO,20161,074,02875043,Ordinaria,NO,MIPC20000G,MIPC20000G,Tito Livio,"Via Circo, 4",F205,MILANO,20161,074,Statale,654,654,1,Secondo ciclo,Liceo,Liceo,Non montano,02875043,0272000892,,,,mipc20000g@pec.istruzione.it,mipc20000g@pec.istruzione.it,15146,45.46156246,9.18070252,"(45.46156246, 9.18070252)"
MI,MIMM8BR01L,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Vergani,Via Dello Sport,18,NOVATE MILANESE,F955,NOVATE MILANESE,20026,066,023544149,Ordinaria,SI,MIIC8BR00G,MIIC8BR00G,Via Brodolini,"Via Dello Sport, 18",F955,NOVATE MILANESE,20026,066,Statale,1121,468,4,Primo ciclo,Istituto Comprensivo,,Non montano,023544149,0233240314,0233240314,icviabrodolini@libero.it,icbrodolini@tiscali.it,miic8br00g@pec.istruzione.it,miic8br00g@pec.istruzione.it,15157,45.53609343,9.13964515,"(45.53609343, 9.13964515)"
MI,MIMM8DU016,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - B. Croce,Via Martinengo,34  6,MILANO,F205,MILANO,20139,087,0288446823,Ordinaria,NO,MIIC8DU005,MIIC8DU005,Pezzani,"Via Martinengo, 36",F205,MILANO,20139,087,Statale,1162,463,3,Primo ciclo,Istituto Comprensivo,,Non montano,02 88446822,02 88446823,,miic8du005@istruzione.it,,miic8du005@pec.istruzione.it,miic8du005@pec.istruzione.it,15146,45.44049722,9.22529504,"(45.44049722, 9.22529504)"
MI,MIEE8DZ03C,Istituto Istruzione Primario,Primaria - G. Casati,Via San Colombano,9,MILANO,F205,MILANO,20142,089,028131965,Ordinaria,NO,MIIC8DZ008,MIIC8DZ008,Ilaria Alpi,"Via Salerno, 1",F205,MILANO,20142,089,Statale,1438,123,4,Primo ciclo,Istituto Comprensivo,,Non montano,0288444696,0288444704,,miic8dz008@istruzione.it,,miic8dz008@pec.istruzione.it,miic8dz008@pec.istruzione.it,15146,45.43881817,9.12676395,"(45.43881817, 9.12676395)"
MI,MIEE8EF01D,Istituto Istruzione Primario,Primaria - via A. Moro,Via Aldo Moro,14,,B240,BUCCINASCO,20090,073,,Ordinaria,SI,MIIC8EF00B,MIIC8EF00B,"IC di Buccinasco, Via Aldo Moro","Via Aldo Moro, 14",B240,BUCCINASCO,20090,073,Statale,1385,351,5,Primo ciclo,Istituto Comprensivo,,Non montano,0245712964,0245703332,0245703332,segr.buccinasco@libero.it,segr.buccinasco@libero.it,miee384008@pec.istruzione.it,miee38402a@pec.istruzione.it,15036,45.41662682,9.12397913,"(45.41662682, 9.12397913)"
MI,MIMM8DQ01D,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Quasimodo,Via Giustizia,6,MILANO,F205,MILANO,20125,075,0288448253,Ordinaria,NO,MIIC8DQ00C,MIIC8DQ00C,IC di Milano - VIa Veglia,"Via Veglia, 80",F205,MILANO,20159,075,Statale,1103,526,3,Primo ciclo,Istituto Comprensivo,,Non montano,,0269015979,02 6705549,istituto.locatelli@tiscali.it,miic8dq00c@istruzione.it,,miic8dq00c@pec.istruzione.it,15146,45.4985057,9.20759372,"(45.4985057, 9.20759372)"
MI,MIEE8DY03L,Istituto Istruzione Primario,Primaria - G. Ferraris,Via Barona,70,MILANO,F205,MILANO,20142,089,02810248,Ordinaria,NO,MIIC8DY00C,MIIC8DY00C,Sant Ambrogio,"Via De Nicola, 2",F205,MILANO,20142,089,Statale,750,98,5,Primo ciclo,Istituto Comprensivo,,Non montano,0288446871,0288446877,,miic8dy00c@istruzione.it,,miic8dy00c@pec.istruzione.it,miic8dy00c@pec.istruzione.it,15146,45.43225094,9.148142,"(45.43225094, 9.148142)"
MI,MIEE8EA01A,Istituto Istruzione Primario,Primaria - Carducci,Via XX Settembre,2,LEGNANO,E514,LEGNANO,20025,069,0331547307,Ordinaria,SI,MIIC8EA008,MIIC8EA008,IC di Legnano,"Via XX Settembre, 2",E514,LEGNANO,20025,069,Statale,906,268,4,Primo ciclo,Istituto Comprensivo,,Non montano,0331/547307,0331/547307,0331547307,miee34400t@istruzione.it,leg4circ@libero.it,miic8ea008@pec.istruzione.it,miic8ea008@pec.istruzione.it,15118,45.59149314,8.90580845,"(45.59149314, 8.90580845)"
MI,MIAA8E6018,Scuola dell'Infanzia,Infanzia - Rodari,Via dei Tigli,,,E094,GORGONZOLA,20064,058,,Ordinaria,NO,MIIC8E600B,MIIC8E600B,"IC di Gorgonzola, Via Molino Vecchio","Via Molino Vecchio, 19",E094,GORGONZOLA,20064,058,Statale,802,145,3,Primo ciclo,Istituto Comprensivo,,Non montano,029513125,02/95138843,,ddgorgonzola@tiscali.it,,miee36101l@pec.istruzione.it,miee36100g@pec.istruzione.it,15108,45.52811315,9.40906668,"(45.52811315, 9.40906668)"
MI,MIEE8DW01V,Istituto Istruzione Primario,Primaria - Quasimodo,Via Mezzofanti,23,MILANO,F205,MILANO,20133,084,0288447140,Ordinaria,NO,MIIC8DW00R,MIIC8DW00R,"IC di Milano, Via De Andreis","Via De Andreis, 10",F205,MILANO,20137,084,Statale,1280,261,5,Primo ciclo,Istituto Comprensivo,,Non montano,0288447156,0288447157,,miic8dw00r@istruzione.it,,miic8dw00r@pec.istruzione.it,miic8dw00r@pec.istruzione.it,15146,45.46372212,9.23515114,"(45.46372212, 9.23515114)"
MI,MIEE8E8015,Istituto Istruzione Primario,Primaria - via Pavese,Via Pavese,,,G206,OZZERO,20080,072,,Ordinaria,NO,MIIC8E8003,MIIC8E8003,"IC di Abbiategrasso, Via Colombo","Via Colombo, 10",A010,ABBIATEGRASSO,20081,072,Statale,1095,74,6,Primo ciclo,Istituto Comprensivo,,Non montano,0294960625,0294960625,,miee349034@istruzione.it,,miee349034@pec.istruzione.it,miee101006@pec.istruzione.it,15165,45.36604336,8.92737989,"(45.36604336, 8.92737989)"
MI,MIEE8ED02V,Istituto Istruzione Primario,Primaria - A.Rosmini,Via Diaz,44,,A940,BOLLATE,20021,066,,Ordinaria,SI,MIIC8ED00Q,MIIC8ED00Q,Rosmini,"Via Diaz, 44",A940,BOLLATE,20021,066,Statale,1104,501,4,Primo ciclo,Istituto Comprensivo,,Non montano,0233300712,023506885,023506885,bollatei@tiscali.it,bollatei@tiscali.it,,miic8ed00q@pec.istruzione.it,15027,45.54074244,9.11990529,"(45.54074244, 9.11990529)"
MI,MIEE8EB016,Istituto Istruzione Primario,Primaria - Europa Unita,Via Varzi,31,,A389,ARESE,20020,067,,Ordinaria,NO,MIIC8EB004,MIIC8EB004,Europa Unita,"Via Varzi, 13",A389,ARESE,20020,067,Statale,1021,434,4,Primo ciclo,Istituto Comprensivo,,Non montano,0293583110,029385608,029385608,miic8eb004@istruzione.it,europaunita.arese@tin.it,,miic8eb004@pec.istruzione.it,15009,45.55517542,9.06402569,"(45.55517542, 9.06402569)"
MI,MIEE8E7019,Istituto Istruzione Primario,Primaria - F.Lli di Dio,Via Fratelli di Dio,1,,A010,ABBIATEGRASSO,20081,072,,Ordinaria,NO,MIIC8E7007,MIIC8E7007,"IC di Abbiategrasso, Via Legnano","Via Legnano , 92",A010,ABBIATEGRASSO,20081,072,Statale,994,380,5,Primo ciclo,Istituto Comprensivo,,Non montano,029420936,029420186,,mimm660009-01@istruzione.it,,mimm660009-01@pec.istruzione.it,miee349001@pec.istruzione.it,15002,45.40762127,8.91156802,"(45.40762127, 8.91156802)"
MI,MIEE8ED01T,Istituto Istruzione Primario,Primaria - V. Galimberti,Via Galimberti,14,,A940,BOLLATE,20021,066,,Ordinaria,NO,MIIC8ED00Q,MIIC8ED00Q,Rosmini,"Via Diaz, 44",A940,BOLLATE,20021,066,Statale,1104,190,4,Primo ciclo,Istituto Comprensivo,,Non montano,0233300712,023506885,,bollatei@tiscali.it,,,miic8ed00q@pec.istruzione.it,15027,45.54352893,9.09977835,"(45.54352893, 9.09977835)"
MI,MIEE8E401T,Istituto Istruzione Primario,Primaria - via Manzoni,Via Manzoni,2,,C523,CERNUSCO SUL NAVIGLIO,20063,058,,Ordinaria,NO,MIIC8E400Q,MIIC8E400Q,"IC di Cernusco Sul Naviglio, Piazza UnitÃ  d'Italia","Piazza UnitÃ  d'Italia, 4",C523,CERNUSCO SUL NAVIGLIO,20063,058,Statale,1474,771,3,Primo ciclo,Istituto Comprensivo,,Non montano,0292241210,0292243061,0292339161,smsic@tin.it,miee11200l@istruzione.it,,miee11200l@pec.istruzione.it,15070,45.52765028,9.3321639,"(45.52765028, 9.3321639)"
MI,MIEE8EG019,Istituto Istruzione Primario,Primaria - Maria Ravizzini,Via Mascherpa,,,B240,BUCCINASCO,20090,073,,Ordinaria,NO,MIIC8EG007,MIIC8EG007,"IC di Buccinasco, Via Giovanni XXIII","Via Liguria, 2",B240,BUCCINASCO,20090,073,Statale,1373,352,4,Primo ciclo,Istituto Comprensivo,,Non montano,0248842362,0245703214,,miic8eg007@istruzione.it,,miic8eg007@pec.istruzione.it,miee35301n@pec.istruzione.it,15036,45.42183372,9.12067131,"(45.42183372, 9.12067131)"
MI,MIMM8E3011,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Gavazzi,Via Gavazzi,,,F119,MELZO,20066,058,,Ordinaria,NO,MIIC8E300X,MIIC8E300X,Ungaretti,"Via Bologna, 14",F119,MELZO,20066,058,Statale,1101,190,4,Primo ciclo,Istituto Comprensivo,,Non montano,0295737310,029551300,,miee130017@istruzione.it,,miee130017@pec.istruzione.it,mi051239drm@pec.istruzione.it,15142,45.50419688,9.42252756,"(45.50419688, 9.42252756)"
MI,MIAA8DY019,Scuola dell'Infanzia,Infanzia - via Depretis,Via De Pretis,15,MILANO,F205,MILANO,20142,089,028131996,Ordinaria,NO,MIIC8DY00C,MIIC8DY00C,Sant Ambrogio,"Via De Nicola, 2",F205,MILANO,20142,089,Statale,750,95,5,Primo ciclo,Istituto Comprensivo,,Non montano,0288446871,0288446877,,miic8dy00c@istruzione.it,,miic8dy00c@pec.istruzione.it,miic8dy00c@pec.istruzione.it,15146,45.43104524,9.15308757,"(45.43104524, 9.15308757)"
MI,MIMM8DS01E,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Primo Levi,Via Pistoia,30,MILANO,F205,MILANO,20153,091,0248926041,Ordinaria,SI,MIIC8DS00D,MIIC8DS00D,Primo Levi,"Via Pistoia, 30",F205,MILANO,20153,091,Statale,907,308,2,Primo ciclo,Istituto Comprensivo,,Non montano,0288444550,0288444556,0248910924,miic8ds00d@istruzione.it,miic8ds00d@istruzione.it,miic8ds00d@pec.istruzione.it,miic8ds00d@pec.istruzione.it,15146,45.46250416,9.08986557,"(45.46250416, 9.08986557)"
MI,MIEE8EA03C,Istituto Istruzione Primario,Primaria - Toscanini 2 - Deledda,Via Parma,75,LEGNANO,E514,LEGNANO,20025,069,0331440762,Ordinaria,NO,MIIC8EA008,MIIC8EA008,IC di Legnano,"Via XX Settembre, 2",E514,LEGNANO,20025,069,Statale,906,183,4,Primo ciclo,Istituto Comprensivo,,Non montano,0331/547307,0331/547307,,miee34400t@istruzione.it,,miic8ea008@pec.istruzione.it,miic8ea008@pec.istruzione.it,15118,45.5833216,8.8976842,"(45.5833216, 8.8976842)"
MI,MIMM8E401R,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - 1 Sc.Media,Piazza UnitÃ  D'Italia,4,,C523,CERNUSCO SUL NAVIGLIO,20063,058,,Ordinaria,SI,MIIC8E400Q,MIIC8E400Q,"IC di Cernusco Sul Naviglio, Piazza UnitÃ  d'Italia","Piazza UnitÃ  d'Italia, 4",C523,CERNUSCO SUL NAVIGLIO,20063,058,Statale,1474,441,3,Primo ciclo,Istituto Comprensivo,,Non montano,0292241210,0292243061,029243061,smsic@tin.it,smsic@tin.it,,mimm64900e@pec.istruzione.it,15070,45.52443084,9.33246618,"(45.52443084, 9.33246618)"
MI,MIAA8EF029,Scuola dell'Infanzia,Infanzia - via Petrarca,Via Petrarca,,,B240,BUCCINASCO,20090,073,,Ordinaria,NO,MIIC8EF00B,MIIC8EF00B,"IC di Buccinasco, Via Aldo Moro","Via Aldo Moro, 14",B240,BUCCINASCO,20090,073,Statale,1385,203,5,Primo ciclo,Istituto Comprensivo,,Non montano,0245712964,0245703332,,segr.buccinasco@libero.it,,miee384008@pec.istruzione.it,miaa384014@pec.istruzione.it,15036,45.43192743,9.11852701,"(45.43192743, 9.11852701)"
MI,MIEE8EC012,Istituto Istruzione Primario,Primaria - Pascoli,Via Col di Lana,5,,A389,ARESE,20020,067,,Ordinaria,NO,MIIC8EC00X,MIIC8EC00X,IC di Arese,"Via dei Gelsi, 1",A389,ARESE,20020,067,Statale,1143,343,4,Primo ciclo,Istituto Comprensivo,,Non montano,029382631,029384724,,icaresegelsi@virgilio.it,,ddsarese@legalmail.it,miee400023@pec.istruzione.it,15009,45.5514152,9.0782687,"(45.5514152, 9.0782687)"
MI,MIEE8DZ01A,Istituto Istruzione Primario,Primaria - Sandro Pertini,Via Salerno,3,MILANO,F205,MILANO,20142,089,02810396,Ordinaria,NO,MIIC8DZ008,MIIC8DZ008,Ilaria Alpi,"Via Salerno, 1",F205,MILANO,20142,089,Statale,1438,440,4,Primo ciclo,Istituto Comprensivo,,Non montano,0288444696,0288444704,028133173,miic8dz008@istruzione.it,miic8dz008@istruzione.it,miic8dz008@pec.istruzione.it,miic8dz008@pec.istruzione.it,15146,45.43787479,9.14877732,"(45.43787479, 9.14877732)"
MI,MIMM8E8025,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - G.Carducci Succ.,Via Pavese,10,,G206,OZZERO,20080,072,,Ordinaria,NO,MIIC8E8003,MIIC8E8003,"IC di Abbiategrasso, Via Colombo","Via Colombo, 10",A010,ABBIATEGRASSO,20081,072,Statale,1095,29,6,Primo ciclo,Istituto Comprensivo,,Non montano,0294960625,0294960625,02940040227,miee349034@istruzione.it,,miee349034@pec.istruzione.it,mimm660009@pec.istruzione.it,15165,45.36580416,8.92515551,"(45.36580416, 8.92515551)"
MI,MIMM8E501L,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Moro,Via Don Lorenzo Milani,4,,C523,CERNUSCO SUL NAVIGLIO,20063,058,,Ordinaria,NO,MIIC8E500G,MIIC8E500G,"IC di Cernusco Sul Naviglio, Via Don Milani","Via Don Milani, 4",C523,CERNUSCO SUL NAVIGLIO,20063,058,Statale,1699,370,5,Primo ciclo,Istituto Comprensivo,,Non montano,029240230,029249545,,segreteria@smscernusco.it,,,mimm64900e-01@pec.istruzione.it,15070,45.51672092,9.32492407,"(45.51672092, 9.32492407)"
MI,MIMM8ED01R,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - L. Da Vinci,Via Fratellanza,13,,A940,BOLLATE,20021,066,,Ordinaria,NO,MIIC8ED00Q,MIIC8ED00Q,Rosmini,"Via Diaz, 44",A940,BOLLATE,20021,066,Statale,1104,319,4,Primo ciclo,Istituto Comprensivo,,Non montano,0233300712,023506885,0233300418,bollatei@tiscali.it,scuola@vincimontale.it,,miic8ed00q@pec.istruzione.it,15027,45.542238,9.11857169,"(45.542238, 9.11857169)"
MI,MIEE8DW02X,Istituto Istruzione Primario,Primaria - Dosso Verde,Viale Corsica,82,MILANO,F205,MILANO,20137,084,0270102294,Ordinaria,NO,MIIC8DW00R,MIIC8DW00R,"IC di Milano, Via De Andreis","Via De Andreis, 10",F205,MILANO,20137,084,Statale,1280,5,5,Primo ciclo,Istituto Comprensivo,,Non montano,0288447156,0288447157,,miic8dw00r@istruzione.it,,miic8dw00r@pec.istruzione.it,miic8dw00r@pec.istruzione.it,15146,45.46203119,9.23437044,"(45.46203119, 9.23437044)"
MI,MIMM8DZ019-01,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Tre Castelli succursale,Via Balsamo Crivelli,,MILANO,F205,MILANO,20142,089,0288444696,Succursale,NO,MIIC8DZ008,MIIC8DZ008,Ilaria Alpi,"Via Salerno, 1",F205,MILANO,20142,089,Statale,1438,0,4,Primo ciclo,Istituto Comprensivo,,Non montano,0288444696,0288444704,,miic8dz008@istruzione.it,,miic8dz008@pec.istruzione.it,miic8dz008@pec.istruzione.it,15146,45.4393144,9.1379594,"(45.4393144, 9.1379594)"
MI,MIEE8DY01E,Istituto Istruzione Primario,Primaria - via De Nicola,Via De Nicola,2,MILANO,F205,MILANO,20142,089,0288446871,Ordinaria,SI,MIIC8DY00C,MIIC8DY00C,Sant Ambrogio,"Via De Nicola, 2",F205,MILANO,20142,089,Statale,750,211,5,Primo ciclo,Istituto Comprensivo,,Non montano,0288446871,0288446877,022810355,miic8dy00c@istruzione.it,miic8dy00c@istruzione.it,miic8dy00c@pec.istruzione.it,miic8dy00c@pec.istruzione.it,15146,45.4315289,9.1548825,"(45.4315289, 9.1548825)"
MI,MIAA8E8021,Scuola dell'Infanzia,Infanzia - G.Matteotti,Via C. Colombo,,,A010,ABBIATEGRASSO,20081,072,,Ordinaria,NO,MIIC8E8003,MIIC8E8003,"IC di Abbiategrasso, Via Colombo","Via Colombo, 10",A010,ABBIATEGRASSO,20081,072,Statale,1095,246,6,Primo ciclo,Istituto Comprensivo,,Non montano,0294960625,0294960625,,miee349034@istruzione.it,,miee349034@pec.istruzione.it,miee349001@pec.istruzione.it,15002,45.39725353,8.92393211,"(45.39725353, 8.92393211)"
MI,MIAA8E7014,Scuola dell'Infanzia,Infanzia - D.Galimberti,Via Galimberti,,,A010,ABBIATEGRASSO,20081,072,,Ordinaria,NO,MIIC8E7007,MIIC8E7007,"IC di Abbiategrasso, Via Legnano","Via Legnano , 92",A010,ABBIATEGRASSO,20081,072,Statale,994,215,5,Primo ciclo,Istituto Comprensivo,,Non montano,029420936,029420186,,mimm660009-01@istruzione.it,,mimm660009-01@pec.istruzione.it,miee349001@pec.istruzione.it,15002,45.4093697,8.9109647,"(45.4093697, 8.9109647)"
MI,MIAA8EC01R,Scuola dell'Infanzia,Infanzia - Peter Pan,Viale Einaudi,11,,A389,ARESE,20020,067,,Ordinaria,NO,MIIC8EC00X,MIIC8EC00X,IC di Arese,"Via dei Gelsi, 1",A389,ARESE,20020,067,Statale,1143,166,4,Primo ciclo,Istituto Comprensivo,,Non montano,029382631,029384724,,icaresegelsi@virgilio.it,,ddsarese@legalmail.it,miaa40001r@pec.istruzione.it,15009,45.54850929,9.08532615,"(45.54850929, 9.08532615)"
MI,MIEE8DQ02G,Istituto Istruzione Primario,Primaria - Locatelli,Via Veglia,80,,F205,MILANO,20159,,,Ordinaria,SI,MIIC8DQ00C,MIIC8DQ00C,IC di Milano - VIa Veglia,"Via Veglia, 80",F205,MILANO,20159,,Statale,1103,369,3,Primo ciclo,Istituto Comprensivo,,Non montano,,0269015979,0269015979,istituto.locatelli@tiscali.it,istituto.locatelli@tiscali.it,,miic8cu00n@pec.istruzione.it,15146,45.49590958,9.19275848,"(45.49590958, 9.19275848)"
MI,MIEE8DW042,Istituto Istruzione Primario,Primaria - via Meleri,Via Meleri,14,,F205,MILANO,20138,,,Ordinaria,NO,MIIC8DW00R,MIIC8DW00R,"IC di Milano, Via De Andreis","Via De Andreis, 10",F205,MILANO,20137,,Statale,1280,243,5,Primo ciclo,Istituto Comprensivo,,Non montano,0288447156,0288447157,02 88447227,miic8dw00r@istruzione.it,,miic8dw00r@pec.istruzione.it,miic8ak002@pec.istruzione.it,15146,45.45677418,9.24738383,"(45.45677418, 9.24738383)"
MI,MIEE8DS01G,Istituto Istruzione Primario,Primaria - Zima-Garibaldi,Via Anselmo Da Baggio,60,MILANO,F205,MILANO,20153,091,0288444750,Ordinaria,NO,MIIC8DS00D,MIIC8DS00D,Primo Levi,"Via Pistoia, 30",F205,MILANO,20153,091,Statale,907,599,2,Primo ciclo,Istituto Comprensivo,,Non montano,0288444550,0288444556,,miic8ds00d@istruzione.it,,miic8ds00d@pec.istruzione.it,miic8ds00d@pec.istruzione.it,15146,45.46393929,9.08726902,"(45.46393929, 9.08726902)"
